Altium Designer Pick and Place Locations
C:\hw\LEAKCAM\Project Outputs for LEAKCAM\Pick Place for MIFA.csv

========================================================================================================================
File Design Information:

Date:       24/09/26
Time:       19:26
Revision:   2b8335e65faaf93c505752e9dbd735af0ed1dd77
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C57","100n 0201","BottomLayer","CAP_0201","1620.654","551.962","0","C2903663"
"C56","100n 0201","BottomLayer","CAP_0201","1544.190","499.865","180","C2903663"
"C55","100n 0201","BottomLayer","CAP_0201","1570.261","473.877","180","C2903663"
"C54","100n 0201","BottomLayer","CAP_0201","1595.652","448.424","0","C2903663"
"C53","100n 0201","BottomLayer","CAP_0201","1568.884","602.623","180","C2903663"
"C52","100n 0201","BottomLayer","CAP_0201","1568.684","577.227","0","C2903663"
"C51","100n 0201","BottomLayer","CAP_0201","1568.625","525.839","0","C2903663"
"C50","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","1850.394","1594.488","180","C19702"
"C49","100n 0201","BottomLayer","CAP_0201","1748.965","756.088","180","C2903663"
"C48","100n 0201","BottomLayer","CAP_0201","1634.167","641.115","90","C2903663"
"C47","100n 0201","BottomLayer","CAP_0201","1621.240","730.817","180","C2903663"
"C46","100n 0201","BottomLayer","CAP_0201","1621.131","756.088","180","C2903663"
"C45","100n 0201","BottomLayer","CAP_0201","1774.616","730.336","180","C2903663"
"C44","100n 0201","BottomLayer","CAP_0201","1672.281","704.628","180","C2903663"
"C43","100n 0201","BottomLayer","CAP_0201","1684.890","666.441","90","C2903663"
"C42","100n 0201","BottomLayer","CAP_0201","1658.858","642.100","90","C2903663"
"C40","100n 0201","BottomLayer","CAP_0201","1735.593","640.430","90","C2903663"
"C39","100n 0201","BottomLayer","CAP_0201","1761.434","640.280","90","C2903663"
"C37","100n 0201","BottomLayer","CAP_0201","1723.462","679.010","0","C2903663"
"C36","12p","TopLayer","CAP_0402","1554.992","825.808","180","C1547"
"C35","12p","TopLayer","CAP_0402","1481.572","826.116","0","C1547"
"C34","20p","TopLayer","CAP_0402","1629.897","826.617","180","C1554"
"C33","20p","TopLayer","CAP_0402","1732.252","826.617","180","C1554"
"C32","100n","TopLayer","CAP_0402","1188.284","73.929","180","C307331"
"C31","100n 0201","BottomLayer","CAP_0201","1800.282","473.928","180","C2903663"
"C30","100n 0201","BottomLayer","CAP_0201","1800.296","498.531","0","C2903663"
"C29","100n 0201","BottomLayer","CAP_0201","1826.241","551.368","0","C2903663"
"C28","100n 0201","BottomLayer","CAP_0201","1800.123","448.798","0","C2903663"
"C27","100n 0201","BottomLayer","CAP_0201","1761.742","436.474","270","C2903663"
"C26","100n 0201","BottomLayer","CAP_0201","1812.903","590.020","270","C2903663"
"C25","100n 0201","BottomLayer","CAP_0201","1812.821","640.723","90","C2903663"
"C24","100n","BottomLayer","CAP_0402","1072.878","1604.571","180","C307331"
"C23","100n","TopLayer","CAP_0402","1515.779","1397.792","0","C307331"
"C22","100pf","BottomLayer","CAP_0402","2337.595","1664.150","270","C1546"
"C21","100pf","BottomLayer","CAP_0402","2341.205","1424.188","270","C1546"
"C19","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2192.299","1710.912","90","C19702"
"C18","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","2306.846","1570.505","0","C59461"
"C17","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","2291.339","508.858","270","C59461"
"C16","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2189.111","1466.821","90","C19702"
"C15","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2078.034","1330.716","0","C19702"
"C14","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","2089.812","1527.678","0","C59461"
"C13","100n 0201","BottomLayer","CAP_0201","1582.643","666.224","90","C2903663"
"C12","100n 0201","BottomLayer","CAP_0201","1568.879","628.148","180","C2903663"
"C11","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2263.780","1318.898","90","C19702"
"C10","100n 0201","BottomLayer","CAP_0201","1633.880","435.948","270","C2903663"
"C8","100n","TopLayer","CAP_0402","1897.948","294.790","0","C307331"
"C7","100n","BottomLayer","CAP_0402","1377.743","293.738","180","C307331"
"C6","100n","BottomLayer","CAP_0402","1339.095","472.447","180","C307331"
"C5","100n","BottomLayer","CAP_0402","1438.988","424.563","180","C307331"
"C3","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2092.508","1179.330","270","C19702"
"C2","10uF GRM188R61A106ME69D","TopLayer","FP-GRM188-0_15-MFG","2185.039","1043.307","0","C19702"
"C1","1uF 50V 1206","TopLayer","FP-1206-L_3_2_0_2-W_1_6_0-IPC_B","1797.511","1179.220","90","C1848"
"B1_P","TESTP","TopLayer","TESTP","1424.629","709.621","90",""
"B1_N","TESTP","TopLayer","TESTP","1426.444","773.513","90",""
"R57","10k","TopLayer","RES_0402","1000.621","1802.900","0","C25744"
"R28","100k","TopLayer","RES_0402","1948.959","1791.099","180","C25741"
"C89","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","2047.244","1791.339","0","C59461"
"C87","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","1850.394","1791.339","0","C59461"
"C20","22uF GRM188R60J226MEA0J","TopLayer","FP-GRM188-0_2-IPC_C","2303.441","1806.553","0","C59461"
"R72","1M","TopLayer","RES_0402","1724.807","1830.955","90","C26083"
"C109","100n","TopLayer","CAP_0402","1658.934","1831.063","270","C307331"
"R44","10k","TopLayer","RES_0402","1001.048","1855.914","0","C25744"
"R35","100k","BottomLayer","RES_0402","1352.480","1878.571","180","C25741"
"R32","100k","TopLayer","RES_0402","1802.927","1854.248","0","C25741"
"R19","100k","TopLayer","RES_0402","1947.235","1855.008","180","C25741"
"PR1","CON6P","BottomLayer","CON6P","1214.106","1816.766","90",""
"S3","S2B-PH-K-S(LF)(SN)","BottomLayer","JST-S2B-PH-K-S_V","2108.268","1968.504","270","C157932"
"RB6","47k","TopLayer","RES_0402","2145.909","1909.589","270","C25792"
"R43","10k","TopLayer","RES_0402","1001.687","1909.356","0","C25744"
"R76","100k","BottomLayer","RES_0402","1138.007","1951.987","90","C25741"
"R38","100k","TopLayer","RES_0402","1014.817","1972.838","270","C25741"
"RB5","47k","TopLayer","RES_0402","2156.433","1988.886","270","C25792"
"C88","100n","BottomLayer","CAP_0402","1219.090","2072.748","90","C307331"
"U11","ai-m62-cbs(blifn4)","TopLayer","AI-M62-CBS","1327.583","1780.217","270","C41368035"
"CT1","NF","TopLayer","CAP_0402","1486.083","2093.890","0",""
